# Model parameters:
# Training Data: numer of images: 12188
# Validation Data: numer of images: 2008
# epoch	training_loss	validation_loss
1	435.969	71.633
2	434.879	71.596
3	434.647	71.535
4	434.024	71.410
5	432.577	71.127
6	430.426	70.669
7	424.963	69.798
8	420.948	69.078
9	420.639	69.459
10	422.345	69.382
11	420.328	69.536
12	419.894	69.363
13	418.748	69.420
14	420.287	69.550
15	422.368	69.407
16	420.984	69.349
17	418.864	69.334
18	420.969	69.402
19	418.646	69.170
20	420.898	69.260
21	420.403	69.543
22	420.892	69.306
23	419.405	69.074
24	421.911	69.439
25	417.481	69.204
26	420.123	69.181
27	416.764	69.297
28	420.999	69.296
29	420.703	69.510
30	419.604	69.416
31	420.461	69.378
32	419.077	69.407
33	418.858	69.129
34	421.252	69.543
35	417.732	69.275
36	420.713	69.318
37	419.314	69.115
38	418.741	69.352
39	419.069	69.249
40	418.531	69.251
41	419.469	69.393
42	418.048	69.145
43	419.375	69.510
44	417.433	69.138
45	418.914	69.336
46	420.172	69.391
47	419.449	69.313
48	418.213	69.344
49	419.845	69.421
50	417.543	69.180
51	418.870	69.189
52	420.601	69.318
53	420.327	69.403
54	418.740	69.219
55	418.681	69.342
56	420.502	69.456
57	419.235	69.311
58	419.938	69.278
59	420.542	69.258
60	419.908	69.169
61	419.550	69.212
62	420.542	69.331
63	418.666	69.229
64	418.549	69.293
65	419.003	69.133
66	418.103	69.369
67	419.784	69.291
68	418.764	69.247
69	419.689	69.387
70	418.616	69.192
71	417.450	69.323
72	422.064	69.436
73	421.381	69.453
74	422.046	69.610
75	419.078	69.222
76	419.430	69.243
77	419.452	69.541
78	422.212	69.387
79	418.826	69.176
80	420.903	69.295
81	420.640	69.244
82	417.833	69.139
83	418.644	69.219
84	419.379	69.182
85	419.453	69.302
86	420.719	69.223
87	418.546	69.313
88	421.023	69.233
89	419.222	69.437
90	418.559	69.364
91	419.615	69.108
92	421.167	69.371
93	419.638	69.380
94	421.904	69.370
95	421.142	69.445
96	419.480	69.148
97	420.916	69.356
98	418.149	69.205
99	419.223	69.059
100	419.504	69.246
